iter	Passed	Remaining
0	1	156
1	2	134
2	3	126
3	4	114
4	5	112
5	7	111
6	8	108
7	9	107
8	10	107
9	11	105
10	12	104
11	14	102
12	15	100
13	16	99
14	17	98
15	18	96
16	19	95
17	20	94
18	21	93
19	22	91
20	24	90
21	25	89
22	26	88
23	27	87
24	28	86
25	29	85
26	31	84
27	32	83
28	33	82
29	34	81
30	36	80
31	37	79
32	38	78
33	39	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	70
40	48	69
41	48	67
42	49	65
43	50	64
44	52	63
45	53	62
46	54	61
47	55	60
48	56	59
49	58	58
50	59	56
51	60	55
52	61	54
53	62	53
54	63	52
55	65	51
56	66	50
57	67	49
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	39
66	78	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	25
78	93	24
79	94	23
80	95	22
81	96	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	104	14
88	105	13
89	106	11
90	107	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	116	2
98	117	1
99	118	0
